preco,tipo,area,quartos,bairro
1200,2,27,1,1
1200,2,27,1,3
1200,2,27,1,2
1200,2,27,1,2
1150,1,27,1,1
1150,2,27,1,2
1150,2,27,1,1
1100,1,27,1,2
1100,2,27,1,2
1100,2,27,1,1
1100,2,27,1,1
1090,2,27,1,2
1090,2,27,1,13
1080,2,27,1,1
1050,2,27,1,1
1050,2,27,1,1
1000,0,27,1,1
1000,2,27,1,17
1000,2,27,1,1
950,2,27,1,16
950,2,27,1,1
950,2,27,1,3
950,2,27,1,1
950,2,27,1,1
900,2,27,1,1
900,2,27,1,1
900,2,27,1,1
900,2,27,1,1
850,2,27,1,1
850,2,27,1,2
850,2,27,1,2
850,2,27,1,2
850,2,27,1,3
800,2,27,1,1
800,2,27,1,2
800,2,27,1,1
800,2,27,1,7
790,2,27,1,1
780,2,27,1,1
750,2,27,1,1
750,2,27,1,1
750,2,27,1,1
750,2,27,1,2
740,1,27,1,12
700,2,27,1,1
700,2,27,1,19
600,2,27,1,4
3600,3,28,1,1
2920,3,28,1,1
2600,3,28,1,1
2500,1,28,1,1
2500,3,28,1,1
2350,3,28,1,1
2300,3,28,1,1
2150,2,28,1,2
2100,1,28,1,1
2100,1,28,1,1
1800,1,28,1,1
1800,1,28,1,1
1800,2,28,1,1
1800,3,28,1,17
1776,1,28,1,1
1700,1,28,1,2
1700,2,28,1,2
1600,1,28,1,17
1600,1,28,1,2
1600,1,28,1,2
1600,1,28,1,1
1600,2,28,1,1
1500,1,28,1,1
1500,1,28,1,2
1500,2,28,1,2
1500,2,28,1,1
1500,2,28,1,2
1500,3,28,1,1
1450,1,28,1,1
1400,2,28,1,6
1350,2,28,1,2
1300,1,28,1,3
1300,2,28,1,6
1250,1,28,1,2
1200,1,28,1,6
1185,1,28,1,3
1150,2,28,1,2
1100,1,28,1,1
1100,1,28,1,1
1100,1,28,1,17
1100,2,28,1,1
1100,2,28,1,2
1100,2,28,1,1
1100,2,28,1,2
1100,2,28,1,1
1100,2,28,1,16
1100,2,28,1,1
1100,2,28,1,1
1000,1,28,1,2
1000,2,28,1,1
1000,2,28,1,6
1000,2,28,1,1
950,1,28,1,2
950,2,28,1,1
930,2,28,1,1
900,1,28,1,1
900,2,28,1,1
900,2,28,1,2
900,2,28,1,1
900,2,28,1,4
900,2,28,1,1
900,2,28,1,2
850,2,28,1,1
850,2,28,1,1
850,2,28,1,2
800,2,28,1,1
800,2,28,1,3
800,2,28,1,6
800,2,28,1,1
800,2,28,1,16
750,1,28,1,1
750,1,28,1,2
750,2,28,1,1
750,2,28,1,4
750,2,28,1,19
750,2,28,1,14
750,2,28,1,2
700,2,28,1,1
700,2,28,1,7
700,2,28,1,14
680,2,28,1,1
660,2,28,1,5
650,2,28,1,18
650,2,28,1,18
650,2,28,1,1
600,2,28,1,1
500,2,28,1,5
450,1,28,1,15
2499,3,29,1,1
1900,3,29,1,1
1700,1,29,1,17
1600,1,29,1,2
1600,2,29,1,3
1500,3,29,1,1
1450,2,29,1,1
1400,2,29,1,3
1100,4,29,1,3
1007,1,29,1,1
1000,1,29,1,2
1000,2,29,1,6
1000,2,29,1,2
1000,2,29,1,2
950,2,29,1,1
900,1,29,1,2
900,1,29,1,1
900,2,29,1,2
900,2,29,1,1
850,1,29,1,1
850,1,29,1,2
850,2,29,1,1
850,2,29,1,2
